bbl,bin,address,zipcode,bldgtype,ess,year,gfa,numbldgs,numfloors,eui,energy,wui,ghg,primary_type,other_types_dict,has_datacenter,electricity,bedrooms,natural_gas,steam,worker_dens,res_units,diesel,fuel_4,fuel_2,fuel_5_6
1020530090,1061152,770 St Nicholas Ave,10031,Multifamily Housing,0,1920,62074,1,7,132.5,,,5.02,,,,,,,,,,,,,
3063810017,3167091,8645-8665 Bay Parkway,11214,Multifamily Housing,0,1950,137170,1,6,83.6,,,3.3,,,,,,,,,,,,,
2025040006,2090416,936 Woodycrest Ave,10452,Senior Care Facility,84,1902,63000,1,4,218.8,,,7.85,,,,,,,,,,,,,
1014990061,1046923,12 East 88th Street,10128,Multifamily Housing,0,1931,90216,1,13,115.6,,,5.03,,,,,,,,,,,,,
4011320044,4025208,3131 54th Street,11377,Multifamily Housing,0,1941,67022,1,6,94.7,,,3.61,,,,,,,,,,,,,
3067600035,3181770,1570 East 14th Street,11230,Multifamily Housing,0,1961,66125,1,6,127.4,,,5.03,,,,,,,,,,,,,
1006460032,1012232,414 West 14th Street   (418 West 14th St),10014,Office,85,2008,51744,1,6,134.8,,,5.96,,,,,,,,,,,,,
1001407505,1001505,157 Chambers St,10007,Multifamily Housing,0,1931,92408,1,16,165,,,4.93,,,,,,,,,,,,,
3072380042,3196062,2610 Ocean Parkway,11235,Multifamily Housing,0,1964,51815,1,6,110.4,,,4.35,Multifamily Home,,0,910068.23,83,3393442.84,,,57,,,,
4033210113,4458689,117-01 84th Avenue,11418,Senior Care Facility,100,1999,304709,7,9,78.7,,,2.65,,,,,,,,,,,,,
4161860036,4303901,140 Beach 114th Street,11694,Senior Care Facility,22,1969,70000,2,6,295.6,,,9.8,,,,,,,,,,,,,
4036050001,4443103,66-26 Metropolitan Avenue,11379,Retail,67,1999,139755,2,3,174.5,,,4.9,Retail,,0,9053276.74,,,,,,,,,
3011220028,,900 Atlantic Ave,11238,Self-Storage,0,2010,88000,1,7,56.3,,,1.67,Other,,0,891214.4,,516700,,,,,,,
3023487501,"3062358;3819944",184 Kent Ave,11249,Multifamily Housing,0,2007,351184,1,6,170.8,,,5.82,,,,,,,,,,,,,
1008060052,1-00806-0052,116 W 31st Street,10001,Hotel,44,2004,49287,1,18,230.4,,,7.59,Hotel,,0,2603708.21,,2956203.23,,,,,,,
3018850026,3329794,414 Flushing Ave,11205,Other,0,1940,85000,4,5,154.4,,,5.03,,,0,,,,,,,,,,
4051430024,4115670,136-30 Sanford Avenue,11355,Office,0,1900,70818,,,151.1,,,8.71,,,,,,,,,,,,,
3065970045,3174177,135 Avenue P,11204,Multifamily Housing,0,1931,69000,1,6,114.6,,,4.51,Multifamily Home,,0,800960.18,,4806800,,,,,,,
2024290001,2002141,1100 TELLER AVENUE,10451,Multifamily Housing,0,1971,74500,1,6,231.6,,,8.95,Multifamily Home,,0,2456118.16,127,9556111.76,,,90,,,,
1008110031,1080606,1350 Broadway,10018,Office,88,1925,437897,2,24,171.6,,,6.3,,,,,,,,,,,,,
