bbl,bin,address,zipcode,bldgtype,ess,year,gfa,numbldgs,numfloors,eui,energy,wui,ghg,primary_type,other_types_dict,has_datacenter,electricity,bedrooms,natural_gas,steam,worker_dens,res_units,diesel,fuel_4,fuel_2,fuel_5_6
1012880011,"1081151;1081152",21 EAST 52 STREET,10022,Hotel,17,1925,251770,2,19,250.4,63037892.7,76.99,7.72,,,,,,,,,,,,,
3056460036,3137939,1042-50TH STREET,11219,Multifamily Housing,97,1940,65500,1,6,83.6,5473069.6,,4.2,Multifamily Housing,,0,185722,,4188499.7,,,53,,,165696.6,
3050770021,3116475,60 East 17 Street,11226,Multifamily Housing,88,1958,84600,2,6,88.7,7505366.7,,4.17,,,,,,,,,,,,,
4010270050,4022646,7520 Astoria Blvd,11370,Office,66,1952,480494,1,3,228.4,109737541,21.16,7.03,,,,,,,,,,,,,
3049060001, 3110191,3500 Snyder Ave,11203,Multifamily Housing,30,1957,115900,1,6,142.8,16544978.3,64.14,6.52,,,,,,,,,,,,,
2040870025,2044268,1575 Williamsbridge Road,10461,Multifamily Housing,58,1962,81500,1,6,119,9699324.1,,6.66,,,0,980025.4,,271900,,,,,5664800.5,,
1008477501,1016154,888 Broadway,10003,Retail Store,2,1900,72218,1,6,253.7,18321440.8,9.31,8.95,,,,,,,,,,,,,
4021270018,"4432033;4432032",102-17 64th Road & 102-18 64th Avenue,11375,Multifamily Housing,58,1949,108000,3,6,131,14151762.9,,5.91,,,,,,,,,,,,,
1014040001,1042480,101 EAST 69TH STREET,10021,Hotel,5,1932,93000,2,5,342.8,31878915.8,,13,,,,,,,,,,,,,
1013150044,1037547,242 E 42nd St,10017,Hotel,31,1981,468907,1,40,266.1,124791042.6,48.6,10.32,,,,,,,,,,,,,
4033217505,4539689,116-11 Curzon Road,11418,Multifamily Housing,33,2009,57544,1,8,153.6,8840029.1,,6.11,,,,,,,,,,,,,
1012720047,1081138,10 W 57th Street,10019,Office,31,1916,81174,2,11,243.3,19750455.4,,6.49,,,,,,,,,,,,,
2039940001,2042138,2475 St. Raymond Avenue,10461,Hospital (General Medical & Surgical),96,1929,137200,2,7,319.8,43875460.1,,12.87,,,,,,,,,,,,,
1010980029,1027134,601 West 50th Street,10019,Office,75,1940,127100,1,6,195.1,24799186,28.07,6.25,Office,,0,7788419.2,,2597.8,,2.16365,,,,3117157.8,
1012600024,1034224,19 West 44th Street,10036,Office,75,1917,299552,2,16,193.5,57974048.4,26.97,5.5,Office,,0,16912601.4,,0,,3.22798,,,,,5731080.2
3067680054,3182140,1695 EAST 21 STREET,11210,Multifamily Housing,61,1940,91980,1,6,98.7,9075715.1,39.65,5.07,,,,,,,,,,,,,
2024870010,"2102725;2116403;2116404;2116405",1065 Gerard Avenue,10452,Multifamily Housing,40,1997,96774,2,7,161.3,15609722.5,95.65,6.38,Multifamily Housing,,0,2585742.5,189,6531971.7,,,126,,,,
1018260036,1055067,200 W. 111th Street,10026,Multifamily Housing,89,1910,75000,1,6,100.6,7541867.3,47.54,4.23,,,,,,,,,,,,,
4051370102,4115906,43-70 Kissena Blvd,11355,Multifamily Housing,61,1962,349005,1,24,124.2,43348081.5,,5.07,Multifamily Housing,,0,5261909.3,482,,,,321,,,,29430900.6
