,Utility Price,,,,,Utility Sales,,,,,Utility Time cost,,,,,Utility Difficulty,,,,,Utility System,,,,,Utility Rating,,,,
,A,B,C,D,E,A,B,C,D,E,A,B,C,D,E,A,B,C,D,E,A,B,C,D,E,A,B,C,D,E
Age of empire 2,0.776516529,0.88142614,0.6137179,0.34431395,0.223483471,0.805143,0.872029,0.155036,0.082745,0.077855,0.159815181,0.369644801,0.515767988,0.433510649,0.412330062,0.3996,0.7567,0.917,0.7589,0.4735,0.5965,0.8882,0.7059,0.4686,0.2247,0.820766086,0.77726468,0.748391412,0.742646935,0.734251143
Age of Empires II (2013),0.653603009,0.89471294,0.7631059,0.50455795,0.346396991,0.931488,0.967864,0.016676,0.01412,0.01268,0.149971699,0.316892737,0.548772634,0.472943321,0.454304386,0.3996,0.7567,0.917,0.7589,0.4735,0.9946,0.7879,0.0782,0.0286,0.0228,0.639483552,0.586496316,0.554729761,0.546489498,0.53491587
ArcheAge: Unchained,0.535032209,0.86538494,0.8436259,0.63181795,0.464967791,0.931488,0.967864,0.016676,0.01412,0.01268,0.036697144,0.030638093,0.812551184,0.697639725,0.68542404,0.3996,0.7567,0.917,0.7589,0.4735,0.0058,-0.3433,0.0702,0.8118,0.9864,0.918775565,0.898393515,0.879971854,0.875659891,0.868216437
ARK: Survival Evolved,0.125549009,0.31607294,0.4457059,0.78085795,0.874450991,0.948912,0.981016,-0.002656,0.0048,0.00382,-0.004260274,-0.050890914,0.904223856,0.788557671,0.786499854,0.6712,0.9076,0.7106,0.4807,0.2277,0.9946,0.7879,0.0782,0.0286,0.0228,0.672873735,0.620130607,0.588217224,0.580054079,0.568535921
ATLAS,0.459585009,0.82183294,0.8573059,0.69665795,0.540414991,0.922827,0.961321,0.026264,0.018765,0.017095,0.059043698,0.085944362,0.756415678,0.649769171,0.631030206,0.3996,0.7567,0.917,0.7589,0.4735,0.1021,0.3226,0.7019,0.8602,0.7065,0.749349193,0.699596334,0.668505882,0.660780532,0.64968105
CALL OF DUTY: BLACK OPS 4,0.459585009,0.82183294,0.8573059,0.69665795,0.540414991,0.561175,0.684125,0.4111,0.221625,0.209375,0.077713393,0.135893445,0.709257666,0.607501389,0.584870315,0.177,0.274,0.7092,0.8647,0.7311,0.1021,0.3226,0.7019,0.8602,0.7065,0.805510534,0.764394794,0.737362062,0.728805909,0.714961021
cuphead,0.872481216,0.84421456,0.4565896,0.2018048,0.127518784,0.8298,0.8908,0.1283,0.0692,0.065,0.68874824,0.933257084,0.047987511,0.038167578,0.033011939,0.3996,0.7567,0.917,0.7589,0.4735,0.9946,0.7879,0.0782,0.0286,0.0228,0.89917286,0.871709127,0.849976118,0.845413899,0.83799274
DARK SOULS III,0.653603009,0.89471294,0.7631059,0.50455795,0.346396991,0.597,0.712,0.3746,0.2006,0.1895,0.176284672,0.386932065,0.493323602,0.420623834,0.389911875,0.0034,-0.5405,0.0872,0.7981,1.0005,0.0058,-0.3433,0.0702,0.8118,0.9864,0.902214851,0.875648939,0.854304672,0.849944526,0.842581832
DayZ,0.202308009,0.48751294,0.6236059,0.79730795,0.797691991,0.686448,0.781144,0.281696,0.14912,0.14078,0.114430002,0.214741795,0.631838661,0.542495492,0.525808373,0.6712,0.9076,0.7106,0.4807,0.2277,0.1021,0.3226,0.7019,0.8602,0.7065,0.749349193,0.699596334,0.668505882,0.660780532,0.64968105
DESTINY 2,0.9234684,0.815824,0.3601,0.1205,0.0765316,0.48200325,0.62209975,0.4901165,0.26903375,0.25413875,0.144380645,0.294547441,0.569249709,0.486819208,0.461285663,0.3996,0.7567,0.917,0.7589,0.4735,0.1021,0.3226,0.7019,0.8602,0.7065,0.789165492,0.74604124,0.718297523,0.708686675,0.695720059
Devil may cry,0.378149409,0.74988694,0.8344459,0.75047795,0.621850591,0.8298,0.8908,0.1283,0.0692,0.065,0.357508299,0.72281942,0.215720676,0.182543968,0.170259933,0.0034,-0.5405,0.0872,0.7981,1.0005,0.0058,-0.3433,0.0702,0.8118,0.9864,0.932905594,0.917181302,0.900888666,0.897273132,0.891316757
DIRT 4,-0.014468991,-0.11680706,-0.0600941,0.67295795,1.014468991,0.93757093,0.97245719,0.00993346,0.01086255,0.00958355,0.263646255,0.573560509,0.334091957,0.29831577,0.267603019,0.3996,0.7567,0.917,0.7589,0.4735,0.299,0.7331,0.9138,0.7458,0.4526,0.831726838,0.79329642,0.767322686,0.758887099,0.747365071
DIVINITY: ORIGINAL SIN II - DEFINITIVE EDITION,0.202308009,0.48751294,0.6236059,0.79730795,0.797691991,0.9142,0.9548,0.0358,0.0234,0.0215,0.178153079,0.420644058,0.481540358,0.409585039,0.389748492,0.177,0.274,0.7092,0.8647,0.7311,0.299,0.7331,0.9138,0.7458,0.4526,0.903427221,0.88083497,0.861714787,0.857058918,0.846709349
Don't Starve Together,0.757362009,0.88615294,0.6410059,0.37100795,0.242637991,-0.108,0.115,0.9041,0.7226,0.677,0.099148204,0.180584499,0.697557046,0.585876519,0.589910476,0.3996,0.7567,0.917,0.7589,0.4735,0.5965,0.8882,0.7059,0.4686,0.2247,0.850909924,0.813013497,0.786775733,0.780478857,0.770881256
Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,-0.014468991,-0.11680706,-0.0600941,0.67295795,1.014468991,0.6712,0.7694,0.2977,0.1578,0.149,0.216682542,0.471842678,0.421351978,0.355829822,0.345213749,0.6712,0.9076,0.7106,0.4807,0.2277,0.299,0.7331,0.9138,0.7458,0.4526,0.886314652,0.855560828,0.832463961,0.827083715,0.819332669
Dynasty Warriors 8,0.601426729,0.88730814,0.8068379,0.56412395,0.398573271,0.8298,0.8908,0.1283,0.0692,0.065,0.115666502,0.241660841,0.624975829,0.53215109,0.513872294,0.3996,0.7567,0.917,0.7589,0.4735,0.299,0.7331,0.9138,0.7458,0.4526,0.70308409,0.651952054,0.62092975,0.611544925,0.598880676
FIFA 18,0.778653809,0.88084094,0.6105859,0.34129795,0.221346191,-0.1668,0.0394,0.8477,0.8238,0.769,0.239580849,0.528726596,0.382703018,0.322584132,0.296585106,0.3996,0.7567,0.917,0.7589,0.4735,0.299,0.7331,0.9138,0.7458,0.4526,0.494729648,0.451779655,0.427308137,0.413736613,0.395724365
FINAL FANTASY XIV Online,0.653603009,0.89471294,0.7631059,0.50455795,0.346396991,-0.17346228,0.00185476,0.72838784,0.9000162,0.8370742,0.006003547,-0.035772537,0.885233938,0.762190298,0.75714582,0.177,0.274,0.7092,0.8647,0.7311,0.1021,0.3226,0.7019,0.8602,0.7065,0.850909924,0.813013497,0.786775733,0.780478857,0.770881256
FINAL FANTASY XV ,0.125549009,0.31607294,0.4457059,0.78085795,0.874450991,0.45814317,0.60328111,0.51343874,0.28360295,0.26787995,0.096608424,0.186086056,0.678645413,0.594241264,0.574352643,0.177,0.274,0.7092,0.8647,0.7311,0.0058,-0.3433,0.0702,0.8118,0.9864,0.781782369,0.741260005,0.714919868,0.706264774,0.689443084
Football Manager 2019,0.125549009,0.31607294,0.4457059,0.78085795,0.874450991,0.8298,0.8908,0.1283,0.0692,0.065,0.049337818,0.066199819,0.777536785,0.673889643,0.651769822,0.9918,0.7267,0.09,0.0301,-0.0063,0.5965,0.8882,0.7059,0.4686,0.2247,0.882395199,0.851188933,0.827892928,0.822362728,0.813592334
God of War,0.653603009,0.89471294,0.7631059,0.50455795,0.346396991,0.277,0.458,0.6811,0.3996,0.377,0.344411884,0.707119201,0.230847985,0.194362294,0.177990473,0.177,0.274,0.7092,0.8647,0.7311,0.0058,-0.3433,0.0702,0.8118,0.9864,0.954757708,0.94872141,0.936782884,0.934836097,0.930842447
GTA5,0.6534,0.8947,0.7633,0.5048,0.3466,-0.048,0.013,0.2636,1.0196,0.9395,0.080721962,0.153916043,0.716305697,0.613273224,0.591258657,0.3996,0.7567,0.917,0.7589,0.4735,0.1021,0.3226,0.7019,0.8602,0.7065,0.961015073,0.958634468,0.948346812,0.947074741,0.943380539
HALO: THE MASTER CHIEF COLLECTION,0.523531529,0.86007614,0.8477179,0.64256395,0.476468471,0.71423712,0.80250496,0.25236464,0.1333952,0.1258832,0.070428378,0.123691202,0.725085918,0.621986992,0.594164903,0.177,0.274,0.7092,0.8647,0.7311,0.1021,0.3226,0.7019,0.8602,0.7065,0.824838686,0.784770019,0.758026543,0.749670566,0.738319624
Hearts of Iron IV,0.283567009,0.62895294,0.7515059,0.78875795,0.716432991,0.871575,0.922525,0.0827,0.046425,0.043375,0.041917934,0.068257496,0.79014963,0.680781869,0.670926247,0.177,0.274,0.7092,0.8647,0.7311,0.0058,-0.3433,0.0702,0.8118,0.9864,0.850909924,0.813013497,0.786775733,0.780478857,0.770881256
jumpking,0.932736409,0.81005694,0.3416459,0.10532795,0.067263591,0.931488,0.967864,0.016676,0.01412,0.01268,0.75661854,0.949119622,0.034636801,0.027599731,0.022525773,0.177,0.274,0.7092,0.8647,0.7311,0.9946,0.7879,0.0782,0.0286,0.0228,0.816694204,0.772642654,0.743562396,0.737636502,0.729227952
Kenshi,0.800125609,0.87432894,0.5781659,0.31058795,0.199874391,0.931488,0.967864,0.016676,0.01412,0.01268,0.286939363,0.613601847,0.303758049,0.256797119,0.233165568,0.6712,0.9076,0.7106,0.4807,0.2277,0.5965,0.8882,0.7059,0.4686,0.2247,0.764068467,0.714858107,0.683846314,0.676776358,0.667226572
Left 4 Dead 2,0.865621009,0.84759294,0.4689059,0.21245795,0.134378991,0.633675,0.740425,0.3368,0.179325,0.169375,0.074740575,0.151036474,0.703420802,0.60875342,0.589616218,0.6712,0.9076,0.7106,0.4807,0.2277,0.5965,0.8882,0.7059,0.4686,0.2247,0.910280473,0.88698837,0.867246122,0.8626086,0.854809411
